[['', 'A', 'A', 'ABC'], 'D']     could not be checked
[['', 'A', 'AB', ''], 'D']     could not be checked
[['', '', 'B', 'A'], 'ABC']     could not be checked
[['', 'A', 'B', 'ABC'], 'B']     could not be checked
[['', 'A', 'B', 'ABC'], 'ABD']     could not be checked
[['', 'A', 'A', 'BC'], 'D']     could not be checked
[['', 'A', 'AB', 'ABC'], '']     could not be checked
[['', '', '', 'ABC'], 'ABC']     could not be checked
[['', 'A', 'AB', 'ABC'], 'AD']     could not be checked
[['', 'A', 'B', 'BC'], 'BC']     could not be checked
[['', '', 'AB', 'AC'], 'C']     could not be checked
[['', 'A', 'B', 'BC'], 'ABCD']     could not be checked
[['', '', 'AB', 'AC'], 'ACD']     could not be checked
[['', 'A', 'AB', 'AC'], 'B']     could not be checked
[['', 'A', 'AB', 'AC'], 'ABD']     could not be checked
[['', 'A', 'B', 'B'], 'AB']     could not be checked
[['', 'A', 'A', ''], 'ABC']     could not be checked
[['', '', '', ''], 'ABCD']     could not be checked
[['', 'A', 'B', 'B'], 'CD']     could not be checked
[['', 'A', 'AB', 'C'], 'BC']     could not be checked
[['', 'A', 'AB', 'A'], 'D']     could not be checked
[['', 'A', 'B', ''], 'AC']     could not be checked
[['', 'A', 'AB', 'C'], 'ABCD']     could not be checked
[['', 'A', 'B', ''], 'BCD']     could not be checked
[['', 'A', '', 'ABC'], 'BCD']     could not be checked
[['', 'A', 'A', 'ABC'], 'AB']     could not be checked
[['', 'A', 'AB', ''], 'AB']     could not be checked
[['', 'A', 'AB', ''], 'CD']     could not be checked
[['', 'A', 'B', 'ABC'], 'BC']     could not be checked
[['', 'A', 'A', 'BC'], 'AB']     could not be checked
[['', 'A', 'B', 'ABC'], 'ABCD']     could not be checked
[['', 'A', 'AB', 'ABC'], 'C']     could not be checked
[['', 'A', 'B', 'BC'], 'A']     could not be checked
[['', '', '', 'ABC'], 'ABD']     could not be checked
[['', 'A', 'AB', 'ABC'], 'ACD']     could not be checked
[['', 'A', 'B', 'BC'], 'BD']     could not be checked
[['', '', 'AB', 'AC'], 'D']     could not be checked
[['', 'A', 'AB', 'AC'], 'BC']     could not be checked
[['', '', '', ''], 'A']     could not be checked
[['', 'A', 'AB', 'AC'], 'ABCD']     could not be checked
[['', 'A', 'A', ''], 'B']     could not be checked
[['', 'A', 'B', 'B'], 'ABC']     could not be checked
[['', 'A', 'A', ''], 'ABD']     could not be checked
[['', 'A', 'AB', 'C'], 'A']     could not be checked
[['', 'A', 'AB', 'A'], 'AB']     could not be checked
[['', 'A', 'B', ''], '']     could not be checked
[['', 'A', '', 'ABC'], '']     could not be checked
[['', 'A', 'AB', 'C'], 'BD']     could not be checked
[['', 'A', 'AB', 'A'], 'CD']     could not be checked
[['', 'A', 'B', ''], 'AD']     could not be checked
[['', 'A', '', 'ABC'], 'AD']     could not be checked
[['', 'A', 'A', 'ABC'], 'ABC']     could not be checked
[['', 'A', 'AB', ''], 'ABC']     could not be checked
[['', 'A', 'B', 'ABC'], 'A']     could not be checked
[['', 'A', 'B', 'ABC'], 'BD']     could not be checked
[['', 'A', 'A', 'BC'], 'ABC']     could not be checked
[['', 'A', 'B', 'AC'], 'BCD']     could not be checked
[['', 'A', 'AB', 'ABC'], 'D']     could not be checked
[['', '', 'AB', 'AC'], 'AB']     could not be checked
[['', '', 'AB', 'AC'], 'CD']     could not be checked
[['', 'A', 'AB', 'AC'], 'A']     could not be checked
[['', 'A', 'AB', 'AC'], 'BD']     could not be checked
[['', 'A', 'B', 'B'], 'B']     could not be checked
[['', 'A', 'A', ''], 'BC']     could not be checked
[['', 'A', 'A', ''], 'ABCD']     could not be checked
[['', 'A', 'AB', 'C'], 'AC']     could not be checked
[['', 'A', 'AB', 'A'], 'ABC']     could not be checked
[['', 'A', 'B', ''], 'C']     could not be checked
[['', 'A', '', 'ABC'], 'C']     could not be checked
[['', 'A', 'B', ''], 'ACD']     could not be checked
[['', 'A', '', 'ABC'], 'ACD']     could not be checked
[['', 'A', 'A', 'ABC'], 'B']     could not be checked
[['', '', 'B', 'AC'], 'CD']     could not be checked
[['', 'A', 'AB', ''], 'B']     could not be checked
[['', 'A', 'A', 'ABC'], 'ABD']     could not be checked
[['', 'A', 'AB', ''], 'ABD']     could not be checked
[['', 'A', 'A', 'BC'], 'B']     could not be checked
[['', 'A', 'B', 'AC'], '']     could not be checked
[['', 'A', 'B', 'AC'], 'AD']     could not be checked
[['', '', 'AB', 'ABC'], 'AC']     could not be checked
[['', '', 'AB', 'AB'], 'CD']     could not be checked
[['', '', '', ''], '']     could not be checked
